gene,note,pmids,status,reviewer
ID1,"Inhibitor of DNA binding 1 (a dominant-negative bHLH regulator). Reported to be involved in decidualization of stromal cells, with implications for preeclampsia.",32361395,draft,
AR,"Androgen receptor. Reported to regulate a gene network distinct from the progesterone receptor in decidualizing endometrium.",18511503,draft,
PGRMC1,"Non-classical progesterone receptor membrane component. Its rise-then-decline pattern is reported to be essential for decidualization, and it regulates cellular senescence via FOXO1 in decidualizing stromal cells.",38308254;36008941;33955452,draft,
PROK1,"Prokineticin 1, strongly induced during decidualization; proposed to support implantation and to induce DKK1; relatively increased in decidua of recurrent pregnancy loss with insulin resistance.",21858178;23972922;21546446;37801889,draft,
RXFP1,"Relaxin receptor (LGR7). Increases IGFBP1 and prolactin transcription in decidual/stromal cells via C/EBP sites; endometrial expression is reported lower in women with implantation failure.",15722441;26761440,draft,
SERPINE1,"PAI-1, a fibrinolysis inhibitor. The PAI-1 4G/4G genotype has been associated with recurrent implantation failure in a meta-analysis.",34019258;25509642,draft,
SOCS3,"Suppressor of cytokine signalling 3, a feedback inhibitor of STAT3. Proposed to act with IL-11/pSTAT3 in initiating and progressing decidualization.",16709613,draft,
TLR4,"Innate-immunity receptor expressed in decidual cells. Mediates inflammatory responses of decidual stromal cells (e.g. to bacterial antigen or excess palmitate).",36495029;31977025;22564191,draft,
TP53,"p53 tumour suppressor. Genetic variants in the p53 pathway (e.g. codon 72) have been studied as risk factors for implantation failure after IVF, with mixed results.",34618298;19432615;18930193,draft,
CXCL12,"Chemokine (SDF-1) at the maternal-fetal interface. Trophoblast-derived CXCL12 promotes decidual stromal invasion and recruits NK cells to the decidua; low levels are associated with miscarriage.",22114110;26166636;35912820,draft,
MALAT1,"Long non-coding RNA. Reported to promote decidualization of endometrial stromal cells via miR-498-3p and HDAC4.",35616349,draft,
SFRP4,"Secreted Wnt modulator. Strongly decreased during in vitro decidualization (21-fold) and proposed to have a role in implantation and the decidual fibrinoid zone.",21858178;19146776,draft,
CFD,"Complement factor D (adipsin). Higher adipsin in maternal serum and follicular fluid at implantation was associated with successful pregnancy in obese women; no stromal-specific role reported.",35909516,draft,
